,Occupation_Code,Occupation_Title,Total_Employees,Mean_Annual_Wage,Annual_10th_Percentile_Wage,Annual_25th_Percentile_Wage,Annual_Median_Wage,Annual_75th_Percentile_Wage,Annual_90th_Percentile_Wage,Probability of Automation,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1099,499030,Home Appliance Repairers,"33,480","40,390","22,260","28,530","37,570","49,670","62,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,499031,Home Appliance Repairers,"33,480","40,390","22,260","28,530","37,570","49,670","62,600",0.72,260.0,50.0,610.0,160.0,2980.0,670.0,330.0,110.0,0.0,2680.0,420.0,90.0,400.0,2120.0,490.0,720.0,180.0,210.0,200.0,130.0,540.0,530.0,1210.0,560.0,190.0,760.0,120.0,380.0,230.0,140.0,1280.0,140.0,3340.0,640.0,170.0,1780.0,450.0,660.0,1130.0,0.0,290.0,150.0,430.0,2110.0,430.0,70.0,0.0,1030.0,110.0,590.0,60.0
1101,499040,"Industrial Machinery Installation, Repair, and Maintenance Workers","465,330","50,910","31,440","38,690","49,080","61,130","75,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,499041,Industrial Machinery Mechanics,"334,490","51,890","32,290","39,730","50,040","61,800","76,110",0.67,10510.0,560.0,3590.0,5040.0,23620.0,4980.0,2350.0,900.0,80.0,12160.0,11510.0,710.0,1550.0,12160.0,12730.0,6660.0,4610.0,8620.0,7230.0,1380.0,3290.0,3620.0,18780.0,6870.0,4320.0,4000.0,700.0,2670.0,1360.0,2160.0,6850.0,2240.0,9850.0,10690.0,1160.0,19200.0,4210.0,4390.0,14860.0,570.0,7930.0,1230.0,8560.0,30390.0,3220.0,610.0,8920.0,6070.0,2780.0,9830.0,2200.0
1103,499043,"Maintenance Workers, Machinery","89,630","46,000","27,440","34,890","44,550","55,900","66,240",0.86,790.0,370.0,1320.0,840.0,7270.0,600.0,1170.0,0.0,160.0,1460.0,2930.0,160.0,550.0,4500.0,2040.0,660.0,1030.0,1510.0,2830.0,230.0,970.0,1600.0,1910.0,720.0,1270.0,3250.0,150.0,530.0,350.0,220.0,1000.0,130.0,3410.0,4130.0,940.0,2470.0,2810.0,810.0,8120.0,150.0,1690.0,70.0,4270.0,10490.0,1050.0,80.0,1550.0,1490.0,340.0,2760.0,420.0
1104,499044,Millwrights,"39,670","53,950","32,680","40,880","52,440","65,940","78,390",0.59,1040.0,260.0,300.0,490.0,2340.0,380.0,210.0,90.0,0.0,620.0,1520.0,30.0,350.0,1270.0,2260.0,1150.0,390.0,1020.0,1300.0,370.0,130.0,450.0,2910.0,930.0,1050.0,800.0,220.0,360.0,250.0,140.0,0.0,140.0,920.0,850.0,170.0,2360.0,250.0,810.0,1700.0,0.0,1060.0,120.0,920.0,3300.0,210.0,90.0,730.0,1420.0,230.0,990.0,0.0
1105,499045,"Refractory Materials Repairers, Except Brickmasons","1,540","47,000","29,310","36,410","45,230","54,620","66,710",0.82,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,40.0,40.0,170.0,0.0,0.0,0.0,150.0,140.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
1106,499050,Line Installers and Repairers,"217,750","61,430","31,790","42,320","62,650","78,190","93,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,499051,Electrical Power-Line Installers and Repairers,"117,670","67,160","36,610","50,820","68,010","82,640","98,190",0.097,3790.0,390.0,1600.0,1720.0,7340.0,2450.0,0.0,360.0,0.0,6080.0,6020.0,370.0,540.0,2840.0,2310.0,1920.0,1750.0,2560.0,1080.0,380.0,3250.0,2900.0,4680.0,2520.0,2090.0,3520.0,740.0,1300.0,720.0,750.0,1860.0,660.0,5000.0,4570.0,940.0,3250.0,2070.0,960.0,4480.0,300.0,2770.0,690.0,3640.0,10680.0,740.0,410.0,2930.0,1780.0,570.0,2230.0,410.0
1108,499052,Telecommunications Line Installers and Repairers,"100,080","54,700","28,010","36,390","52,590","72,870","83,260",0.49,1050.0,470.0,1570.0,1100.0,10480.0,2010.0,750.0,260.0,230.0,7080.0,2410.0,330.0,430.0,3560.0,2750.0,570.0,1360.0,1070.0,820.0,510.0,3120.0,2270.0,960.0,1400.0,720.0,1920.0,390.0,340.0,910.0,520.0,3020.0,300.0,8890.0,2930.0,300.0,3290.0,1690.0,440.0,5510.0,390.0,1290.0,490.0,960.0,10340.0,690.0,150.0,0.0,1400.0,1000.0,680.0,110.0
1109,499060,Precision Instrument and Equipment Repairers,"68,360","49,680","27,280","34,820","47,220","61,440","77,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,499061,Camera and Photographic Equipment Repairers,"3,760","43,920","24,730","29,450","41,060","55,190","66,150",0.97,0.0,0.0,180.0,0.0,700.0,0.0,80.0,0.0,0.0,0.0,70.0,0.0,0.0,460.0,70.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
1111,499062,Medical Equipment Repairers,"43,370","50,910","29,130","36,160","48,070","62,370","78,520",0.27,820.0,80.0,640.0,460.0,3740.0,990.0,350.0,90.0,40.0,3930.0,960.0,60.0,240.0,910.0,1510.0,530.0,440.0,570.0,270.0,150.0,880.0,1080.0,1750.0,1030.0,220.0,1350.0,90.0,270.0,380.0,110.0,0.0,190.0,2150.0,1740.0,210.0,1840.0,460.0,450.0,2460.0,60.0,460.0,210.0,1070.0,3180.0,650.0,60.0,940.0,1080.0,300.0,680.0,70.0
1112,499063,Musical Instrument Repairers and Tuners,"7,980","37,690","20,570","26,340","35,010","45,750","59,350",0.91,130.0,0.0,190.0,30.0,600.0,0.0,100.0,0.0,0.0,340.0,0.0,0.0,0.0,610.0,170.0,130.0,120.0,0.0,0.0,0.0,250.0,130.0,0.0,120.0,0.0,220.0,0.0,0.0,0.0,0.0,150.0,0.0,580.0,100.0,0.0,370.0,0.0,80.0,650.0,0.0,0.0,0.0,120.0,670.0,0.0,0.0,150.0,330.0,0.0,260.0,0.0
1113,499064,Watch Repairers,"1,620","39,720","20,810","26,530","36,740","48,420","61,880",0.99,0.0,0.0,0.0,0.0,240.0,100.0,0.0,0.0,0.0,140.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,140.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
1114,499069,"Precision Instrument and Equipment Repairers, All Other","11,640","56,570","32,650","43,420","56,230","66,750","81,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,499070,"Maintenance and Repair Workers, General","1,332,480","39,360","22,010","28,180","36,940","48,520","60,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,499071,"Maintenance and Repair Workers, General","1,332,480","39,360","22,010","28,180","36,940","48,520","60,660",0.64,13740.0,4320.0,24320.0,12000.0,120570.0,22020.0,10510.0,3530.0,4820.0,83440.0,43310.0,7190.0,5900.0,58940.0,33090.0,14430.0,13490.0,19270.0,26770.0,4630.0,21890.0,23410.0,41710.0,22170.0,12300.0,30930.0,4590.0,8690.0,14120.0,4380.0,31180.0,8470.0,102010.0,40760.0,3890.0,53720.0,15360.0,14610.0,57500.0,4070.0,25690.0,2690.0,29710.0,110920.0,11150.0,2720.0,32020.0,31340.0,10200.0,30430.0,3560.0
1117,499080,Wind Turbine Service Technicians,"4,580","54,360","36,970","43,590","52,260","62,720","76,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,499081,Wind Turbine Service Technicians,"4,580","54,360","36,970","43,590","52,260","62,720","76,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,499090,"Miscellaneous Installation, Maintenance, and Repair Workers","354,250","37,940","20,500","25,640","34,170","47,150","61,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,499091,"Coin, Vending, and Amusement Machine Servicers and Repairers","33,600","34,860","20,080","25,200","33,070","42,140","51,540",0.94,540.0,0.0,620.0,270.0,2910.0,520.0,370.0,160.0,0.0,1850.0,1130.0,0.0,200.0,1330.0,1320.0,400.0,330.0,480.0,590.0,110.0,390.0,570.0,860.0,620.0,510.0,1070.0,0.0,60.0,1470.0,0.0,1010.0,340.0,1700.0,1150.0,90.0,2270.0,760.0,240.0,970.0,0.0,410.0,170.0,740.0,1820.0,270.0,40.0,510.0,560.0,150.0,930.0,80.0
1121,499092,Commercial Divers,"3,370","53,990","30,700","37,510","49,090","61,610","83,730",0.18,60.0,100.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,200.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,170.0,230.0,0.0,0.0,0.0
1122,499093,"Fabric Menders, Except Garment",550,"27,670","20,270","22,630","26,920","30,810","37,430",0.96,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1123,499094,Locksmiths and Safe Repairers,"18,640","42,180","22,320","30,430","40,420","52,310","62,960",0.77,290.0,0.0,190.0,80.0,2240.0,370.0,100.0,120.0,40.0,1890.0,520.0,0.0,60.0,600.0,240.0,150.0,210.0,180.0,280.0,0.0,410.0,380.0,440.0,260.0,160.0,230.0,60.0,90.0,240.0,60.0,1010.0,150.0,1110.0,400.0,70.0,490.0,140.0,320.0,460.0,60.0,390.0,0.0,250.0,2330.0,140.0,30.0,590.0,330.0,40.0,230.0,0.0
1124,499095,Manufactured Building and Mobile Home Installers,"3,200","31,030","20,330","24,720","29,810","36,180","43,400",0.18,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,30.0,160.0,150.0,70.0,0.0,0.0,0.0,0.0,0.0,140.0,100.0,0.0,120.0,190.0,0.0,0.0,0.0,0.0,60.0,90.0,280.0,0.0,0.0,0.0,50.0,120.0,0.0,0.0
1125,499096,Riggers,"21,020","49,030","27,820","34,440","45,690","58,990","74,750",0.89,150.0,40.0,80.0,50.0,1760.0,90.0,230.0,0.0,50.0,850.0,170.0,170.0,0.0,380.0,330.0,0.0,50.0,460.0,4270.0,300.0,270.0,340.0,380.0,180.0,130.0,50.0,0.0,60.0,240.0,0.0,120.0,40.0,200.0,280.0,0.0,390.0,340.0,190.0,460.0,70.0,430.0,0.0,210.0,4100.0,150.0,0.0,1290.0,990.0,50.0,110.0,0.0
1126,499097,Signal and Track Switch Repairers,"8,680","62,710","36,110","52,060","65,350","76,270","82,800",0.9,0.0,0.0,0.0,160.0,600.0,120.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,730.0,80.0,0.0,0.0,120.0,120.0,0.0,0.0,180.0,0.0,560.0,0.0,190.0,0.0,290.0,0.0,0.0,0.0,0.0,1060.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,80.0,810.0,160.0,0.0,0.0,110.0,0.0,230.0,0.0
1127,499098,"Helpers--Installation, Maintenance, and Repair Workers","118,720","29,370","18,720","21,800","27,510","34,990","43,680",0.79,3540.0,510.0,2560.0,1090.0,13530.0,1020.0,880.0,480.0,310.0,5820.0,3280.0,650.0,730.0,3050.0,2220.0,770.0,900.0,1520.0,3940.0,360.0,3230.0,1680.0,2240.0,1890.0,1820.0,840.0,280.0,350.0,1020.0,540.0,4040.0,1240.0,4970.0,4230.0,520.0,2130.0,2160.0,1400.0,4700.0,390.0,2100.0,0.0,2980.0,16970.0,1190.0,160.0,4200.0,1800.0,850.0,1330.0,320.0
1128,499099,"Installation, Maintenance, and Repair Workers, All Other","146,460","41,810","22,580","28,820","38,480","51,880","64,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,510000,Production Occupations,"9,105,650","37,190","20,720","24,920","33,130","45,360","60,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,511000,Supervisors of Production Workers,"610,480","61,450","34,290","43,970","57,780","75,070","95,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,511010,First-Line Supervisors of Production and Operating Workers,"610,480","61,450","34,290","43,970","57,780","75,070","95,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,511011,First-Line Supervisors of Production and Operating Workers,"610,480","61,450","34,290","43,970","57,780","75,070","95,800",0.016,13140.0,950.0,8720.0,8400.0,53850.0,6410.0,8180.0,1280.0,260.0,24040.0,21230.0,1380.0,3070.0,24620.0,24750.0,9500.0,7430.0,11970.0,10840.0,2970.0,6810.0,11270.0,27320.0,11730.0,7320.0,12690.0,1470.0,5010.0,2600.0,2950.0,12690.0,2210.0,26270.0,20770.0,1760.0,30310.0,8490.0,6850.0,27140.0,2590.0,12860.0,1380.0,16230.0,47700.0,6050.0,1810.0,12530.0,13500.0,3480.0,22580.0,1140.0
1133,512000,Assemblers and Fabricators,"1,798,860","33,610","20,470","24,230","30,930","39,730","52,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,512010,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","42,010","52,530","32,460","39,750","50,050","65,900","78,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,512011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","42,010","52,530","32,460","39,750","50,050","65,900","78,150",0.79,1550.0,0.0,660.0,430.0,3270.0,90.0,1180.0,0.0,0.0,1740.0,2810.0,0.0,110.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,150.0,0.0,0.0,510.0,1030.0,80.0,0.0,0.0,0.0,0.0,0.0,3310.0,170.0,0.0,0.0,0.0,260.0,0.0,0.0
1136,512020,"Electrical, Electronics, and Electromechanical Assemblers","278,150","34,060","21,220","25,470","31,730","40,050","49,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,512021,"Coil Winders, Tapers, and Finishers","14,090","35,340","22,030","26,230","33,940","43,040","50,820",0.73,380.0,0.0,80.0,500.0,1260.0,0.0,320.0,0.0,0.0,390.0,630.0,0.0,0.0,1010.0,300.0,0.0,160.0,260.0,40.0,90.0,0.0,130.0,180.0,180.0,300.0,760.0,0.0,0.0,0.0,70.0,230.0,0.0,510.0,1010.0,0.0,670.0,280.0,100.0,430.0,0.0,160.0,130.0,610.0,690.0,60.0,30.0,0.0,180.0,210.0,1180.0,0.0
1138,512022,Electrical and Electronic Equipment Assemblers,"218,530","33,700","20,970","25,170","31,310","39,550","49,600",0.95,2760.0,0.0,5010.0,1100.0,33500.0,3200.0,3370.0,290.0,0.0,9930.0,3850.0,0.0,0.0,6920.0,6320.0,3320.0,1360.0,1710.0,170.0,460.0,2980.0,5560.0,10020.0,8100.0,1890.0,4480.0,200.0,570.0,770.0,2190.0,4910.0,180.0,10530.0,6150.0,660.0,9980.0,2380.0,3680.0,14580.0,560.0,2060.0,1420.0,3660.0,16190.0,1950.0,130.0,3400.0,4370.0,570.0,9980.0,100.0
1139,512023,Electromechanical Equipment Assemblers,"45,540","35,410","22,320","26,670","33,350","41,810","51,080",0.97,430.0,0.0,320.0,50.0,5860.0,2210.0,840.0,50.0,0.0,1370.0,150.0,0.0,0.0,790.0,800.0,0.0,70.0,100.0,0.0,0.0,340.0,1820.0,320.0,2600.0,0.0,0.0,0.0,40.0,90.0,1220.0,1740.0,80.0,1390.0,730.0,0.0,2060.0,790.0,440.0,2180.0,100.0,160.0,70.0,960.0,8300.0,70.0,70.0,1230.0,460.0,60.0,2250.0,0.0
1140,512030,Engine and Other Machine Assemblers,"38,150","43,090","26,700","31,880","41,210","54,540","61,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,512031,Engine and Other Machine Assemblers,"38,150","43,090","26,700","31,880","41,210","54,540","61,800",0.82,1530.0,0.0,310.0,200.0,1470.0,0.0,190.0,0.0,0.0,160.0,380.0,0.0,0.0,2050.0,0.0,940.0,90.0,800.0,80.0,0.0,110.0,70.0,4850.0,290.0,380.0,990.0,0.0,160.0,0.0,200.0,210.0,0.0,420.0,850.0,250.0,6640.0,370.0,110.0,1200.0,0.0,940.0,610.0,1280.0,2190.0,120.0,50.0,350.0,860.0,0.0,760.0,0.0
1142,512040,Structural Metal Fabricators and Fitters,"77,270","40,000","25,410","30,780","37,730","47,490","58,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,512041,Structural Metal Fabricators and Fitters,"77,270","40,000","25,410","30,780","37,730","47,490","58,900",0.41,2640.0,50.0,910.0,1430.0,6500.0,1020.0,570.0,130.0,0.0,4070.0,1430.0,0.0,350.0,1010.0,2000.0,590.0,1910.0,910.0,2260.0,720.0,520.0,1080.0,3530.0,1040.0,1350.0,0.0,0.0,780.0,380.0,270.0,570.0,130.0,1970.0,2040.0,70.0,3450.0,1060.0,1830.0,5180.0,200.0,1660.0,180.0,2060.0,8860.0,920.0,90.0,2210.0,2090.0,220.0,4030.0,70.0
1144,512090,Miscellaneous Assemblers and Fabricators,"1,363,280","32,310","20,020","23,470","29,840","38,350","50,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,512091,Fiberglass Laminators and Fabricators,"19,400","33,020","21,790","25,680","30,870","38,110","47,670",0.93,720.0,40.0,40.0,390.0,1290.0,0.0,0.0,0.0,0.0,2220.0,660.0,0.0,110.0,390.0,2210.0,320.0,0.0,0.0,260.0,340.0,80.0,390.0,470.0,230.0,0.0,430.0,0.0,0.0,0.0,0.0,600.0,0.0,230.0,520.0,0.0,440.0,0.0,230.0,220.0,100.0,680.0,760.0,510.0,1780.0,110.0,0.0,120.0,980.0,0.0,440.0,0.0
1146,512092,Team Assemblers,"1,112,780","32,550","20,200","23,710","30,060","38,550","50,980",0.97,35410.0,240.0,9220.0,12420.0,83860.0,3790.0,9740.0,730.0,0.0,39160.0,48540.0,470.0,6000.0,43730.0,82450.0,19480.0,14110.0,46840.0,5300.0,2450.0,3630.0,15130.0,105140.0,23300.0,19710.0,23380.0,990.0,8900.0,4740.0,4370.0,5450.0,1390.0,39100.0,46310.0,2460.0,41740.0,9920.0,4990.0,37170.0,3060.0,44460.0,3300.0,62800.0,47930.0,12350.0,1370.0,16340.0,14620.0,2990.0,41480.0,290.0
1147,512093,Timing Device Assemblers and Adjusters,790,"42,470","24,710","29,240","37,040","50,530","74,740",0.98,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1148,512099,"Assemblers and Fabricators, All Other","230,310","31,050","19,210","22,240","28,550","37,330","47,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,513000,Food Processing Workers,"793,100","28,320","19,200","21,710","26,280","32,620","40,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,513010,Bakers,"180,450","27,110","18,640","20,980","25,090","31,110","39,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,513011,Bakers,"180,450","27,110","18,640","20,980","25,090","31,110","39,050",0.89,1780.0,230.0,2750.0,1050.0,30330.0,3660.0,1450.0,410.0,290.0,12340.0,5060.0,1420.0,820.0,7390.0,3300.0,1790.0,1420.0,1140.0,1460.0,1220.0,3560.0,3800.0,5420.0,2900.0,840.0,2880.0,800.0,1050.0,2110.0,890.0,5870.0,1030.0,10180.0,4250.0,610.0,6080.0,1910.0,2590.0,9220.0,690.0,2060.0,320.0,3020.0,13050.0,2030.0,680.0,3010.0,5270.0,900.0,3810.0,310.0
1152,513020,"Butchers and Other Meat, Poultry, and Fish Processing Workers","364,460","28,140","19,560","22,000","26,410","31,910","39,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,513021,Butchers and Meat Cutters,"133,880","31,740","19,750","23,200","29,870","38,470","47,960",0.93,1620.0,290.0,2000.0,1440.0,19080.0,2310.0,760.0,310.0,290.0,9650.0,4470.0,580.0,1010.0,7650.0,2500.0,3040.0,900.0,1570.0,2110.0,600.0,1550.0,1970.0,3690.0,2310.0,1240.0,2780.0,740.0,990.0,1370.0,500.0,3640.0,900.0,5090.0,4360.0,500.0,4960.0,1680.0,1870.0,5400.0,430.0,2000.0,710.0,2840.0,9650.0,1010.0,200.0,2840.0,3630.0,650.0,1980.0,270.0
1154,513022,"Meat, Poultry, and Fish Cutters and Trimmers","149,800","25,510","19,220","21,230","24,490","29,050","33,020",0.94,11390.0,3240.0,610.0,7050.0,8180.0,0.0,150.0,4270.0,0.0,4200.0,10420.0,570.0,0.0,3060.0,3760.0,3980.0,4080.0,1230.0,2750.0,1030.0,600.0,2070.0,1330.0,4280.0,7610.0,4140.0,60.0,9860.0,310.0,90.0,1630.0,120.0,2930.0,8750.0,0.0,2170.0,830.0,840.0,2140.0,270.0,2930.0,1910.0,2490.0,8040.0,530.0,230.0,4380.0,3550.0,0.0,2470.0,70.0
1155,513023,Slaughterers and Meat Packers,"80,780","27,040","20,020","22,460","26,590","30,680","36,170",0.6,240.0,0.0,480.0,2160.0,4590.0,0.0,100.0,410.0,0.0,360.0,3960.0,100.0,100.0,4910.0,630.0,5610.0,4210.0,0.0,810.0,30.0,580.0,0.0,710.0,5430.0,2520.0,890.0,120.0,0.0,0.0,40.0,590.0,40.0,910.0,7360.0,130.0,2970.0,1460.0,420.0,2350.0,30.0,1210.0,790.0,1800.0,0.0,1280.0,50.0,1510.0,1230.0,80.0,3950.0,0.0
1156,513090,Miscellaneous Food Processing Workers,"248,200","29,470","19,270","21,840","27,110","35,250","44,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,513091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","20,080","30,970","19,220","22,420","28,570","37,410","48,550",0.91,280.0,50.0,70.0,150.0,2240.0,520.0,0.0,0.0,0.0,460.0,610.0,120.0,570.0,490.0,370.0,320.0,0.0,730.0,60.0,80.0,0.0,360.0,590.0,350.0,0.0,810.0,80.0,150.0,120.0,50.0,450.0,0.0,520.0,1240.0,120.0,810.0,0.0,310.0,550.0,110.0,110.0,150.0,230.0,1890.0,270.0,180.0,0.0,260.0,0.0,1310.0,0.0
1158,513092,Food Batchmakers,"148,540","30,130","19,310","22,070","27,810","36,430","46,010",0.7,1110.0,180.0,1490.0,1800.0,17180.0,2180.0,1090.0,210.0,0.0,4470.0,3350.0,590.0,1250.0,8640.0,3070.0,4040.0,970.0,2330.0,810.0,630.0,1660.0,3110.0,4200.0,4580.0,0.0,5650.0,230.0,1660.0,1150.0,350.0,2910.0,1110.0,7840.0,2400.0,240.0,5950.0,1000.0,2880.0,7220.0,380.0,3110.0,470.0,5100.0,8590.0,2930.0,490.0,3310.0,3420.0,50.0,10020.0,90.0
1159,513093,Food Cooking Machine Operators and Tenders,"36,520","30,330","19,210","22,120","28,350","36,740","45,830",0.61,0.0,0.0,190.0,940.0,5120.0,130.0,250.0,50.0,0.0,500.0,0.0,160.0,690.0,1550.0,1010.0,760.0,550.0,790.0,220.0,140.0,590.0,330.0,1040.0,680.0,0.0,1410.0,0.0,400.0,0.0,0.0,740.0,120.0,2180.0,680.0,80.0,1490.0,820.0,870.0,1600.0,40.0,400.0,150.0,340.0,2750.0,150.0,50.0,480.0,700.0,0.0,790.0,0.0
1160,513099,"Food Processing Workers, All Other","43,070","25,800","19,160","21,070","24,160","29,490","35,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,514000,Metal Workers and Plastic Workers,"1,924,170","39,830","23,770","29,460","37,560","48,190","59,860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,514010,Computer Control Programmers and Operators,"171,370","41,640","25,730","31,440","39,290","49,610","61,060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,514011,"Computer-Controlled Machine Tool Operators, Metal and Plastic","146,190","39,590","25,180","30,480","37,880","47,570","57,750",0.86,2110.0,0.0,1010.0,1160.0,11430.0,910.0,2290.0,70.0,0.0,1800.0,2020.0,0.0,590.0,4220.0,7320.0,2640.0,1840.0,1560.0,800.0,740.0,710.0,2750.0,10220.0,4560.0,700.0,4570.0,140.0,1110.0,0.0,1960.0,3100.0,120.0,4620.0,5230.0,200.0,13490.0,2820.0,2170.0,11030.0,430.0,2880.0,400.0,2160.0,11150.0,1220.0,1150.0,1460.0,1660.0,190.0,10560.0,0.0
1164,514012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic","25,180","53,560","32,860","40,540","50,580","62,690","78,760",0.36,610.0,0.0,210.0,100.0,2640.0,180.0,750.0,0.0,0.0,430.0,290.0,0.0,160.0,1310.0,910.0,380.0,540.0,250.0,70.0,100.0,220.0,540.0,2130.0,720.0,110.0,330.0,0.0,90.0,0.0,180.0,460.0,0.0,1170.0,830.0,0.0,2030.0,230.0,680.0,1150.0,70.0,330.0,60.0,490.0,1760.0,170.0,100.0,260.0,390.0,0.0,1440.0,0.0
